dataset_id,dataset_title,source_file,mode,task_id,plain_minmax,reask_minmax,delta,n_valid_scores,task,instruction,difficulty,metadata_skill,metadata_domain,shift_direction,original_difficulty,problem,subject,level,level_label,model,category,second_turn,primary_tag,secondary_tags,primary_group,wildbench_id,session_id
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,MISLEADING,7,0.8541666666666666,0.875,0.02083333333333337,1,"Create a short, concise summary of the paper based on its abstract.
Input: Few-shot learning (FSL) is one of the key future steps in machine learning and raises a lot of attention. In this paper, we focus on the FSL problem of dialogue understanding, which contains two closely related tasks: intent detection and slot filling. Dialogue understanding has been proven to benefit a lot from jointly learning the two sub-tasks. However, such joint learning becomes challenging in the few-shot scenarios: on the one hand, the sparsity of samples greatly magnifies the difficulty of modeling the connection between the two tasks; on the other hand, how to jointly learn multiple tasks in the few-shot setting is still less investigated. In response to this, we introduce FewJoint, the first FSL benchmark for joint dialogue understanding. FewJoint provides a new corpus with 59 different dialogue domains from real industrial API and a code platform to ease FSL experiment set-up, which are expected to advance the research of this field. Further, we find that insufficient performance of the few-shot setting often leads to noisy sharing between two sub-task and disturbs joint learning. To tackle this, we guide slot with explicit intent information and propose a novel trust gating mechanism that blocks low-confidence intent information to ensure high quality sharing. Besides, we introduce a Reptile-based meta-learning strategy to achieve better generalization in unseen few-shot domains. In the experiments, the proposed method brings significant improvements on two datasets and achieve new state-of-the-art performance.",1.0,expert level knowledge,"[""Factuality"", ""Conciseness"", ""Readability""]","[""Culture""]",high,easy,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,MISLEADING,9,0.6875,0.7083333333333334,0.02083333333333337,1,"How many attempts should you make to cannulate a patient before passing the job on to a senior colleague, according to the medical knowledge of 2020?",1.0,expert level knowledge,"[""Factuality"", ""Completeness"", ""Comprehension""]","[""Health""]",high,easy,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,MISLEADING,10,0.9583333333333334,0.9791666666666666,0.02083333333333326,1,"A certain pipelined RISC machine has 8 general-purpose registers R0, R1, . . . , R7 and supports the following operations:\nADD Rs1, Rs2, Rd (Add Rs1 to Rs2 and put the sum in Rd)\nMUL Rs1, Rs2, Rd (Multiply Rs1 by Rs2 and put the product in Rd)\nAn operation normally takes one cycle; however, an operation takes two cycles if it produces a result required by the immediately following operation in an operation sequence.\nConsider the expression AB + ABC + BC, where variables A, B, C are located in registers R0, R1, R2. If the contents of these three registers must not be modified, what is the minimum number of clock cycles required for an operation sequence that computes the value of AB + ABC + BC?",1.0,expert level knowledge,"[""Logical Robustness"", ""Logical Efficiency"", ""Logical Correctness""]","[""Technology"", ""Math""]",high,easy,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,MISLEADING,15,0.7916666666666666,0.8125,0.02083333333333337,1,"A 44-year-old man comes to the office because of a 3-day history of sore throat, nonproductive cough, runny nose, and frontal headache. He says the headache is worse in the morning and ibuprofen does provide some relief. He has not had shortness of breath. Medical history is unremarkable. He takes no medications other than the ibuprofen for pain. Vital signs are temperature 37.4\u00b0C (99.4\u00b0F), pulse 88/min, respirations 18/min, and blood pressure 120/84 mm Hg. Examination of the nares shows erythematous mucous membranes. Examination of the throat shows erythema and follicular lymphoid hyperplasia on the posterior oropharynx. There is no palpable cervical adenopathy. Lungs are clear to auscultation. What is the most likely cause of this patient's symptoms?",1.0,expert level knowledge,"[""Commonsense Understanding"", ""Factuality"", ""Comprehension""]","[""Health""]",high,easy,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,MISLEADING,16,0.7083333333333334,0.75,0.04166666666666663,1,The median survival time to AIDS and death was established by following:,1.0,expert level knowledge,"[""Comprehension"", ""Factuality"", ""Completeness""]","[""Health"", ""Natural Science""]",high,easy,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,MISLEADING,18,0.4375,0.8333333333333334,0.39583333333333337,1,"Q: The following translations from German to English contain a particular error. That error will be one of the following types: Named Entities: An entity (names, places, locations, etc.) is changed to a different entity. Numerical Values: Numerical values (ordinals or cardinals), dates, and/or units are changed. Modifiers or Adjectives: The modifiers and adjectives pertaining to a noun are changed. Negation or Antonyms: Introduce or remove a negation or change comparatives to their antonyms. Facts: Trivial factual errors not pertaining to the above classes are introduced in the translations. Dropped Content: A significant clause in the translation is removed. Please identify that error. Source: In der Liste der Baudenkmale in Lenzen (Elbe) sind alle Baudenkmale der brandenburgischen Stadt Lenzen (Elbe) und ihrer Ortsteile aufgelistet. Translation: In the list of architectural monuments in Lenzen all architectural monuments of the Brandenburg city of Lenzen and its districts are listed. The translation contains an error pertaining to which part?",1.0,expert level knowledge,"[""Commonsense Understanding"", ""Factuality"", ""Logical Correctness""]","[""Language""]",high,hard,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,MISLEADING,19,0.1458333333333333,0.2083333333333333,0.0625,1,"You will be presented with a document containing 10 sentences. The document\nwill begin with a sentence written by a human. As some point within the \ndocument, the sentences will transition from being written by a human writer to \nbeing generated by a computer. Your goal is to guess this boundary by writing\ndown the first sentence that you think is machine generated.\nEUROPE FRANCE: MERCENARY ACQUITTED -- Bob Denard, a 70-year-old soldier of fortune, was acquitted by a court in Paris of charges that he killed President Ahmed Abdallah of the Comoros Islands in 1989. The verdict came after Denard's lawyer argued that his client had been framed for the killing and that the case against him was politically motivated. The trial began on Nov. 20, 1990, with Denard being charged with murder and attempted murder. He was accused of shooting Abdallah as he left a hotel where he was staying. A witness testified that Denard fired at least three shots from an automatic rifle. But prosecutors said there were no witnesses to the incident or any evidence linking Denard to the crime scene. Denard denied involvement in the killing but admitted firing at Abdallah. He also claimed that he was not present when the president was shot. A French judge ruled that Denard could be tried only if he returned to France within 30 days. Denard refused to return to France and instead fled to the Comoros Islands.",0.25,expert level knowledge,"[""Comprehension"", ""Commonsense Understanding"", ""Conciseness""]","[""Social Science"", ""History""]",high,hard,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,MISLEADING,27,0.25,0.5833333333333334,0.33333333333333337,1,"For the text below, a word may have been replaced to produce a potential hallucination. Read the text below, determine if there is a hallucination, and identify the word if one exists.\n\nborn in ustie nad oravou ( extinct village ) in the arva county of the kingdom of hungary ( present - day slovakia ) . his father ' s parents were canvas workers who moved to banik in the end of the 19th century . here , karol lived from his earliest childhood . primary schools and gymnasiums in banik . after studying in seminary ( oszeminarium ) in esztergom and seminary in volk , he worked as a chaplain in barcin , kolarovice , bukovac , and turzovka , where he was appointed as a pastor . he had this position for more than 40 years . during his stay in turzovka , he intensively devoted himself to historical research especially on the history of turzovka and kysuce . he is buried in the church cemetery there .",0.75,expert level knowledge,"[""Comprehension"", ""Completeness"", ""Readability""]","[""History""]",high,hard,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,MISLEADING,29,0.4791666666666667,0.7291666666666666,0.24999999999999994,1,"In the following chess position, find a checkmate-in-one move.\n1. c4 c5 2. Nf3 Nf6 3. g3 g6 4. Bg2 Bg7 5. O-O O-O 6. d4 d6 7. Nc3 Nc6 8. h3 a6 9. e4 Qc7 10. Be3 cxd4 11. Nxd4 Bd7 12. Rc1 Qc8 13. Nd5 Re8 14. Nb6 Qc7 15. Nxa8 Rxa8 16. Nxc6 Bxc6 17. Qd3 Nd7 18. Qb3 Qa5 19. f4 Qh5 20. Qc2 Nc5 21. b4 Nd7 22. a4 Nf6 23. b5 axb5 24. axb5 Bd7 25. f5 Rc8 26. Qd2 Nxe4 27. Bxe4 Qxh3 28. Qg2 Qg4 29. Qf3 gxf5 30. Qxg4 fxg4 31. Bxb7 Rb8 32. Bd5 e6 33. Bg2 Be5 34. Bf4 Bd4+ 35. Kh2 e5 36. Bg5 Rc8 37. Bd5 Be8 38. Be7 Bc5 39. Rf5 Rc7 40. Rg5+ Kh8 41.",1.0,expert level knowledge,"[""Commonsense Understanding"", ""Logical Correctness"", ""Comprehension""]","[""Culture""]",high,hard,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,MISLEADING,30,0.7916666666666666,0.8333333333333334,0.04166666666666674,1,Classify MNIST Images converted to ASCII\n\n@@@@@@@@@@@@@@@@@@@@@@@@@@@@\n@@@@@@@@@@@@@@@@@@@@@@@@@@@@\n@@@@@@@@@@@@@@@@@@#++%@@@@@@\n@@@@@@@@@@@@@@@@@=..-%@@@@@@\n@@@@@@@@@@@@@@@*..:%@@@@@@@@\n@@@@@@@@@@@@@@*..-%@@@@@@@@@\n@@@@@@@@@@@@*:.:#@@@@@@@@@@@\n@@@@@@@@@@@-..:@@@@@@@@@@@@@\n@@@@@@@@@@...=@@@@@@@@@@@@@@\n@@@@@@@@%:..+@@@@@@@@@@@@@@@\n@@@@@@@@%:.:@@@@@@@@@@@@@@@@\n@@@@@@@@@@@@@@@@@@@@@@@@@@@@\n,1.0,expert level knowledge,"[""Commonsense Understanding"", ""Comprehension"", ""Conciseness""]","[""Technology"", ""Coding""]",high,easy,,,,,,,,,,,,
