dataset_id,dataset_title,source_file,mode,task_id,plain_minmax,reask_minmax,delta,n_valid_scores,task,instruction,difficulty,metadata_skill,metadata_domain,shift_direction,original_difficulty,problem,subject,level,level_label,model,category,second_turn,primary_tag,secondary_tags,primary_group,wildbench_id,session_id
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,ENCOURAGE,2,0.6666666666666666,0.875,0.20833333333333337,1,"Please suggest a few papers to consider based on the search term given. The names of the papers should be listed.
Input: Topic: scaling law + machine learning",1.0,expert level knowledge,"[""Factuality"", ""Comprehension"", ""Readability""]","[""Technology"", ""Coding""]",high,easy,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,ENCOURAGE,5,0.7708333333333334,0.7916666666666666,0.02083333333333326,1,Design a medium-level sudoku puzzle.,1.0,expert level knowledge,"[""Insightfulness"", ""Commonsense Understanding"", ""Comprehension""]","[""Math""]",high,easy,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,ENCOURAGE,10,0.9583333333333334,0.9791666666666666,0.02083333333333326,1,"A certain pipelined RISC machine has 8 general-purpose registers R0, R1, . . . , R7 and supports the following operations:\nADD Rs1, Rs2, Rd (Add Rs1 to Rs2 and put the sum in Rd)\nMUL Rs1, Rs2, Rd (Multiply Rs1 by Rs2 and put the product in Rd)\nAn operation normally takes one cycle; however, an operation takes two cycles if it produces a result required by the immediately following operation in an operation sequence.\nConsider the expression AB + ABC + BC, where variables A, B, C are located in registers R0, R1, R2. If the contents of these three registers must not be modified, what is the minimum number of clock cycles required for an operation sequence that computes the value of AB + ABC + BC?",1.0,expert level knowledge,"[""Logical Robustness"", ""Logical Efficiency"", ""Logical Correctness""]","[""Technology"", ""Math""]",high,easy,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,ENCOURAGE,16,0.7083333333333334,0.75,0.04166666666666663,1,The median survival time to AIDS and death was established by following:,1.0,expert level knowledge,"[""Comprehension"", ""Factuality"", ""Completeness""]","[""Health"", ""Natural Science""]",high,easy,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,ENCOURAGE,19,0.1458333333333333,0.3958333333333333,0.25,1,"You will be presented with a document containing 10 sentences. The document\nwill begin with a sentence written by a human. As some point within the \ndocument, the sentences will transition from being written by a human writer to \nbeing generated by a computer. Your goal is to guess this boundary by writing\ndown the first sentence that you think is machine generated.\nEUROPE FRANCE: MERCENARY ACQUITTED -- Bob Denard, a 70-year-old soldier of fortune, was acquitted by a court in Paris of charges that he killed President Ahmed Abdallah of the Comoros Islands in 1989. The verdict came after Denard's lawyer argued that his client had been framed for the killing and that the case against him was politically motivated. The trial began on Nov. 20, 1990, with Denard being charged with murder and attempted murder. He was accused of shooting Abdallah as he left a hotel where he was staying. A witness testified that Denard fired at least three shots from an automatic rifle. But prosecutors said there were no witnesses to the incident or any evidence linking Denard to the crime scene. Denard denied involvement in the killing but admitted firing at Abdallah. He also claimed that he was not present when the president was shot. A French judge ruled that Denard could be tried only if he returned to France within 30 days. Denard refused to return to France and instead fled to the Comoros Islands.",0.25,expert level knowledge,"[""Comprehension"", ""Commonsense Understanding"", ""Conciseness""]","[""Social Science"", ""History""]",high,hard,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,ENCOURAGE,27,0.25,0.5625,0.3125,1,"For the text below, a word may have been replaced to produce a potential hallucination. Read the text below, determine if there is a hallucination, and identify the word if one exists.\n\nborn in ustie nad oravou ( extinct village ) in the arva county of the kingdom of hungary ( present - day slovakia ) . his father ' s parents were canvas workers who moved to banik in the end of the 19th century . here , karol lived from his earliest childhood . primary schools and gymnasiums in banik . after studying in seminary ( oszeminarium ) in esztergom and seminary in volk , he worked as a chaplain in barcin , kolarovice , bukovac , and turzovka , where he was appointed as a pastor . he had this position for more than 40 years . during his stay in turzovka , he intensively devoted himself to historical research especially on the history of turzovka and kysuce . he is buried in the church cemetery there .",0.75,expert level knowledge,"[""Comprehension"", ""Completeness"", ""Readability""]","[""History""]",high,hard,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,ENCOURAGE,36,0.0208333333333333,0.25,0.22916666666666669,1,"In the following chess position, find a checkmate-in-one move.\n1. g3 d6 2. Bg2 c5 3. d3 b6 4. Nf3 Nc6 5. O-O Bb7 6. b3 f6 7. c4 e5 8. Bb2 Nge7 9. d4 Ng6 10. d5 Nce7 11. Nc3 Nf5 12. Qc2 Nd4 13. Nxd4 cxd4 14. Ne4 Be7 15. Qd3 O-O 16. e3 Qc7 17. exd4 Rad8 18. dxe5 dxe5 19. Kh1 Bd6 20. Rfc1 Ne7 21. c5 bxc5 22. Nxc5 Bxc5 23. Bd4 e4 24. Bxc5 exd3 25. Bxe7 Qxe7 26. Rc3 Qe2 27. Rf1 d2 28. Re3 Qxf1+ 29. Bxf1 d1=Q 30. Re2",0.5,expert level knowledge,"[""Logical Correctness"", ""Commonsense Understanding"", ""Completeness""]","[""Culture""]",high,easy,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,ENCOURAGE,37,0.8541666666666666,0.875,0.02083333333333337,1,"Complete this code properly.\nCode: sets entity content as a parameter list . this method is mutually exclusive with #settext string , #setbinary byte , #setstream java.io.inputstream , #setserializable java.io.serializable , #setfile java.io.file methods . concode_field_sep File file concode_elem_sep boolean gzipCompress concode_elem_sep InputStream stream concode_elem_sep byte[] binary concode_elem_sep String contentEncoding concode_elem_sep boolean chunked concode_elem_sep String text concode_elem_sep List<NameValuePair> parameters concode_elem_sep Serializable serializable concode_elem_sep ContentType contentType concode_field_sep EntityBuilder setBinary concode_elem_sep String getContentEncoding concode_elem_sep boolean isGzipCompress concode_elem_sep EntityBuilder setStream concode_elem_sep String getText concode_elem_sep void clearContent concode_elem_sep EntityBuilder setContentEncoding concode_elem_sep EntityBuilder chunked concode_elem_sep EntityBuilder setSerializable concode_elem_sep File getFile concode_elem_sep Serializable getSerializable concode_elem_sep EntityBuilder setFile concode_elem_sep boolean isChunked concode_elem_sep EntityBuilder gzipCompress concode_elem_sep HttpEntity build concode_elem_sep List<NameValuePair> getParameters concode_elem_sep EntityBuilder create concode_elem_sep ContentType getContentType concode_elem_sep ContentType getContentOrDefault concode_elem_sep byte[] getBinary concode_elem_sep InputStream getStream concode_elem_sep EntityBuilder setContentType concode_elem_sep EntityBuilder setText",1.0,expert level knowledge,"[""Logical Robustness"", ""Logical Efficiency"", ""Comprehension""]","[""Coding""]",high,easy,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,ENCOURAGE,40,0.0,0.8333333333333334,0.8333333333333334,1,"In the following chess position, find a checkmate-in-one move.\n1. c4 e6 2. Nc3 Bb4 3. Ne4 d5 4. Ng3 dxc4 5. e4 Bd6 6. N1e2 Bxg3 7. Nxg3 Nf6 8. b3 cxb3 9. Qxb3 O-O 10. Ba3 Re8 11. d4 Nc6 12. Qc4 Qxd4 13. Qxd4 Nxd4 14. Bc5 Nc2+ 15. Kd2 Nxa1 16. Bd4 Rd8 17. Ne2 Nxe4+ 18. Kd3 Nxf2+ 19. Ke3 Nxh1 20. Ng3 Nxg3 21. hxg3 Nc2+ 22. Kd2 Nxd4 23. Ke3 Nc2+ 24. Kf4 e5+ 25. Kxe5 Re8+ 26. Kf4 Bd7 27. g4 Re7 28. g5 Rae8 29. a4 Re4+ 30. Kf3 Ne1+ 31. Kf2 R8e5 32. g6 Rf5+ 33. Kg3 Re6 34. Bc4 Rxg6+ 35. Kh3",1.0,expert level knowledge,"[""Commonsense Understanding"", ""Logical Correctness"", ""Metacognition""]","[""Culture""]",high,hard,,,,,,,,,,,,
chat_flask,FLASK (Chat),chat_flask_minmax_outputs\data\00_global_minmax_with_metadata.csv,ENCOURAGE,45,0.8333333333333334,0.8958333333333334,0.0625,1,Complete this code properly.\nCode: returns an about : neterror uri with the unknownprotocolfound text as a parameter . concode_field_sep String MARKET_INTENT_URI_PACKAGE_PREFIX concode_elem_sep String[] NATIVE_EVENTS concode_elem_sep String EXTRA_BROWSER_FALLBACK_URL concode_elem_sep IntentHelper instance concode_elem_sep FragmentActivity activity concode_elem_sep String LOGTAG concode_elem_sep String UNKNOWN_PROTOCOL_URI_PREFIX concode_elem_sep String MALFORMED_URI_PREFIX concode_elem_sep JSONObject message concode_elem_sep String[] EVENTS concode_elem_sep String GENERIC_URI_PREFIX concode_field_sep IntentHelper init concode_elem_sep void openWebActivity concode_elem_sep void getHandlers concode_elem_sep void handleMessage concode_elem_sep void handleMessage concode_elem_sep void destroy concode_elem_sep void onActivityResult concode_elem_sep void open concode_elem_sep void openNoHandler concode_elem_sep void openForResult,1.0,expert level knowledge,"[""Logical Robustness"", ""Logical Efficiency"", ""Conciseness""]","[""Coding""]",high,easy,,,,,,,,,,,,
